"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","avatar",,,,"User:","shuangda"
"Cmdline:","dstat -cd --output duration40_chunksize1024.csv",,,,"Date:","26 Dec 2018 21:48:19 CST"

"total cpu usage",,,,,,"dsk/total",
"usr","sys","idl","wai","hiq","siq","read","writ"
46.821,11.440,29.872,11.009,0.0,0.859,1163348.841,47317492.910
84.0,15.0,0.0,0.0,0.0,1.0,0.0,104390656.0
92.0,8.0,0.0,0.0,0.0,0.0,0.0,112570368.0
74.257,16.832,0.0,7.921,0.0,0.990,0.0,115343360.0
76.768,21.212,0.0,1.010,0.0,1.010,8192.0,106037248.0
76.238,16.832,0.0,5.941,0.0,0.990,0.0,109584384.0
79.0,20.0,0.0,1.0,0.0,0.0,0.0,109838336.0
62.0,22.0,0.0,15.0,0.0,1.0,0.0,113246208.0
82.0,13.0,0.0,4.0,0.0,1.0,0.0,111153152.0
69.307,19.802,0.0,8.911,0.0,1.980,0.0,108269568.0
62.626,17.172,0.0,17.172,0.0,3.030,0.0,111935488.0
61.0,35.0,0.0,3.0,0.0,1.0,0.0,109051904.0
67.0,16.0,0.0,14.0,0.0,3.0,0.0,113246208.0
76.768,18.182,0.0,4.040,0.0,1.010,0.0,105279488.0
62.376,18.812,0.0,16.832,0.0,1.980,0.0,95252480.0
79.0,16.0,0.0,3.0,0.0,2.0,0.0,106958848.0
76.768,18.182,0.0,0.0,0.0,5.051,0.0,115343360.0
76.0,22.0,0.0,0.0,0.0,2.0,0.0,114561024.0
80.0,16.0,0.0,0.0,0.0,4.0,0.0,113254400.0
76.0,21.0,0.0,0.0,0.0,3.0,0.0,116129792.0
